text,selected_text,21-30,31-45,46-60,60-70,70-100,morning,noon,night
5.461903962837904e-05,8.481099576938472e-05,0,0,0,0,0,1,0,0
9.06532954699193e-05,8.91636922692121e-05,1,0,0,0,0,0,1,0
5.8765657934064235e-05,6.382028208564682e-05,0,1,0,0,0,0,0,1
7.172287675574572e-05,8.965220863829554e-05,0,0,1,0,0,1,0,0
9.300870816744262e-05,6.382028208564682e-05,0,0,0,1,0,0,1,0
0.00013334196611994846,0.00020605945898973627,0,0,0,0,1,0,0,1
9.947007454799879e-05,6.382028208564682e-05,0,0,0,0,0,1,0,0
5.924801425234541e-05,9.025008455034462e-05,1,0,0,0,0,0,1,0
0.0,0.0,0,1,0,0,0,0,0,1
0.00010150191625046575,0.00010901767220662407,0,0,1,0,0,1,0,0
0.0001376610766432689,0.00021220768078860448,0,0,0,1,0,0,1,0
0.00010651095399103688,6.382028208564682e-05,0,0,0,0,1,0,0,1
9.177408241925899e-05,6.382028208564682e-05,0,0,0,0,0,1,0,0
9.935929580907691e-05,6.382028208564682e-05,1,0,0,0,0,0,1,0
7.17332371551303e-05,0.00010904774351625922,0,1,0,0,0,0,0,1
7.072508465529812e-05,0.0001085474625206613,0,0,1,0,0,1,0,0
9.985305800600093e-05,6.382028208564682e-05,0,0,0,1,0,0,1,0
0.00014925490774819397,6.382028208564682e-05,0,0,0,0,1,0,0,1
0.00010964020660344639,6.382028208564682e-05,0,0,0,0,0,1,0,0
4.189534542712305e-05,6.382028208564682e-05,1,0,0,0,0,0,1,0
9.707036457409344e-05,0.00014989365201019896,0,1,0,0,0,0,0,1
0.00014571029300161875,6.382028208564682e-05,0,0,1,0,0,1,0,0
9.89273479546007e-05,0.0001526504265483547,0,0,0,1,0,0,1,0
0.0001326344319620272,0.00020457090305340015,0,0,0,0,1,0,0,1
0.00013356920172471597,0.00020565261780600787,0,0,0,0,0,1,0,0
0.00010706913840100806,0.00016404286885447322,1,0,0,0,0,0,1,0
4.189534542712305e-05,6.382028208564682e-05,0,1,0,0,0,0,0,1
9.178780107348373e-05,8.997569293414362e-05,0,0,1,0,0,1,0,0
0.00012761880608247426,6.382028208564682e-05,0,0,0,1,0,0,1,0
9.616209901886733e-05,0.00010664268536623257,0,0,0,0,1,0,0,1
0.00011180621315234706,8.922402074433373e-05,0,0,0,0,0,1,0,0
8.837683592603341e-05,6.382028208564682e-05,1,0,0,0,0,0,1,0
0.00013714183722573565,0.00013932479841317075,0,1,0,0,0,0,0,1
7.254789699741933e-05,6.382028208564682e-05,0,0,1,0,0,1,0,0
0.00014755908552957852,0.00022581420086981228,0,0,0,1,0,0,1,0
0.00014650671064507222,0.00012665094923204314,0,0,0,0,1,0,0,1
0.0001355652751049788,6.382028208564682e-05,0,0,0,0,0,1,0,0
0.00014786567724718786,0.00022619659413363106,1,0,0,0,0,0,1,0
0.00010330511680817612,8.986764379526425e-05,0,1,0,0,0,0,0,1
0.00013702279665124575,0.00010758558817804394,0,0,1,0,0,1,0,0
0.00013788533718172752,0.00021030721737080936,0,0,0,1,0,0,1,0
8.061384819445722e-05,8.844878892119198e-05,0,0,0,0,1,0,0,1
4.189534542712305e-05,6.382028208564682e-05,0,0,0,0,0,1,0,0
0.000168730068440914,0.0002596830748851535,1,0,0,0,0,0,1,0
0.00012362554033714377,6.382028208564682e-05,0,1,0,0,0,0,0,1
0.0001211681639639645,0.00018566157534703713,0,0,1,0,0,1,0,0
0.00014299557049467029,6.382028208564682e-05,0,0,0,1,0,0,1,0
7.157242185957317e-05,0.000109438786773623,0,0,0,0,1,0,0,1
0.0001505895945511998,0.00010899032073532839,0,0,0,0,0,1,0,0
0.00011160314523640988,8.877711756182149e-05,1,0,0,0,0,0,1,0
0.00011231929639190496,0.00017409170184952614,0,1,0,0,0,0,0,1
9.963287746790389e-05,0.0001533017396539069,0,0,1,0,0,1,0,0
5.8248548786686296e-05,8.8921517055903e-05,0,0,0,1,0,0,1,0
6.719879970175134e-05,0.00010435056191877575,0,0,0,0,1,0,0,1
7.152381842843649e-05,0.00010913561716400628,0,0,0,0,0,1,0,0
9.106753323480583e-05,0.00013948574289251347,1,0,0,0,0,0,1,0
0.00012805296934805687,6.382028208564682e-05,0,1,0,0,0,0,0,1
9.63368258856734e-05,8.932323650741829e-05,0,0,1,0,0,1,0,0
9.233417773932753e-05,0.00010990507832161119,0,0,0,1,0,0,1,0
5.670887864492499e-05,8.635768052362703e-05,0,0,0,0,1,0,0,1
0.00011554322671312649,0.00012632733463160826,0,0,0,0,0,1,0,0
5.915454867399218e-05,9.012715053796942e-05,1,0,0,0,0,0,1,0
5.752841544309801e-05,8.856015110561971e-05,0,1,0,0,0,0,0,1
0.0001473708105976745,6.382028208564682e-05,0,0,1,0,0,1,0,0
0.00011795178719788195,6.382028208564682e-05,0,0,0,1,0,0,1,0
4.189534542712305e-05,6.382028208564682e-05,0,0,0,0,1,0,0,1
8.278954367171681e-05,6.382028208564682e-05,0,0,0,0,0,1,0,0
0.00012478790202159846,0.0001918817127305421,1,0,0,0,0,0,1,0
4.189534542712305e-05,6.382028208564682e-05,0,1,0,0,0,0,0,1
7.090790045866892e-05,0.0001081847329843137,0,0,1,0,0,1,0,0
8.142636653291421e-05,0.000124718199384073,0,0,0,1,0,0,1,0
0.00010356369282296509,6.382028208564682e-05,0,0,0,0,1,0,0,1
0.00015348674484673728,0.00023533775135761983,0,0,0,0,0,1,0,0
0.00011476618585366871,0.0001739873686043932,1,0,0,0,0,0,1,0
0.00013435870661656686,0.00020581588604009566,0,1,0,0,0,0,0,1
0.00013366087407566183,0.00020573165996786794,0,0,1,0,0,1,0,0
0.00010613954760221727,6.382028208564682e-05,0,0,0,1,0,0,1,0
5.6635558668485824e-05,8.723894787079415e-05,0,0,0,0,1,0,0,1
5.920853754344489e-05,8.996407835941045e-05,0,0,0,0,0,1,0,0
0.00010192109471064752,0.00015549162270913787,1,0,0,0,0,0,1,0
